Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

========================================================================
  REPEATED TICKETS — Formatted List
  Format: Category Title | Status | Date | Ticket ID
========================================================================

  Total repeated open tickets: 652

  Title / Category                  Status    Date           Ticket ID
  ------------------------------------------------------------------------
  suggestions: route, timing, st...  Open      26 Mar, 26     #12009606
  i had an issue with driver 11:...  Open      26 Mar, 26     #12009554
  app issue 11:06 am app not wor...  Open      26 Mar, 26     #12009466
  i had a payment related issue ...  Open      26 Mar, 26     #12009450
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12009413
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12009412
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12009376
  i had an issue with driver 10:...  Open      26 Mar, 26     #12009366
  i had an issue with ac 10:52 a...  Open      26 Mar, 26     #12009326
  i had an issue with ac 10:49 a...  Open      26 Mar, 26     #12009300
  tracking issue 10:45 am i coul...  Open      26 Mar, 26     #12009268
  my seat had a problem 10:43 am...  Open      26 Mar, 26     #12009252
  i had an issue with ac 10:41 a...  Open      26 Mar, 26     #12009229
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12009123
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12008878
  i lost or found something 9:54...  Open      26 Mar, 26     #12008852
  my seat had a problem 9:54 am ...  Open      26 Mar, 26     #12008850
  i had a payment related issue ...  Open      26 Mar, 26     #12008806
  suggestions: route, timing, st...  Open      26 Mar, 26     #12008762
  app issue 9:42 am slow app 9:4...  Open      26 Mar, 26     #12008738
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12008711
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12008689
  i lost or found something 9:34...  Open      26 Mar, 26     #12008668
  where is my bus 9:34 am the bu...  Open      26 Mar, 26     #12008666
  suggestions: route, timing, st...  Open      26 Mar, 26     #12008661
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12008645
  i have an issue with ac 9:20 a...  Open      26 Mar, 26     #12008547
  i had an issue with ac 9:17 am...  Open      26 Mar, 26     #12008511
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12008510
  i lost or found something 9:15...  Open      26 Mar, 26     #12008479
  my seat had a problem 9:13 am ...  Open      26 Mar, 26     #12008454
  where is my bus 9:12 am the bu...  Open      26 Mar, 26     #12008447
  i had a payment related issue ...  Open      26 Mar, 26     #12008396
  suggestions: route, timing, st...  Open      26 Mar, 26     #12008361
  i missed my bus 9:03 am i want...  Open      26 Mar, 26     #12008347
  i missed my bus 9:03 am i want...  Open      26 Mar, 26     #12008346
  i lost or found something 8:54...  Open      26 Mar, 26     #12008234
  i lost or found something 8:50...  Open      26 Mar, 26     #12008171
  i had an issue with driver 8:4...  Open      26 Mar, 26     #12008161
  app issue 8:48 am slow app 8:4...  Open      26 Mar, 26     #12008154
  tracking issue 8:46 am i could...  Open      26 Mar, 26     #12008093
  i lost or found something 8:43...  Open      26 Mar, 26     #12008059
  bus quality and hygiene issue ...  Open      26 Mar, 26     #12007991
  i had a payment related issue ...  Open      26 Mar, 26     #12007973
  my seat has a problem 8:26 am ...  Open      26 Mar, 26     #12007793
  suggestions: route, timing, st...  Open      26 Mar, 26     #12007689
  where is my bus 8:15 am tracki...  Open      26 Mar, 26     #12007626
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12007519
  i have an issue with ac 8:08 a...  Open      26 Mar, 26     #12007505
  where is my bus 8:07 am the bu...  Open      26 Mar, 26     #12007487
  where is my bus 8:01 am i can'...  Open      26 Mar, 26     #12007398
  i had a payment related issue ...  Open      26 Mar, 26     #12007376
  i had an issue with ac 8:00 am...  Open      26 Mar, 26     #12007375
  No Issue Stated (Dropped Off)     Open      26 Mar, 26     #12007330
