#,Route Name,Departure,First Pickup Stop,Last Pickup Stop
1,PCL - PCL,00:00:00,Deepak Fertiliser K1 PCL,Deepak Fertiliser K1 PCL
2,Chirner - K1,05:30:00,"Chirner, Kharpada DFPCL",Trombay Koliwada DFPCL
3,Sakinaka - Bhiwandi,05:30:00,Luthra Industrial Estate,Luthra Industrial Estate
4,Badlapur- PCL,05:40:00,Katrap DFPCL,Khoni Palava Main gate DFPCL
5,Downtown 2 - Hub,06:00:00,Premier Loadha,Premier Loadha
6,Premier - Manpada Road,06:00:00,Premier ,Premier 
7,Chembur - BKC,06:01:00,Amar Mahal Junction,Swastik Park
8,Kalyan - Powai,06:01:00,Prem Auto,Tagore Nagar junction
9,New Panvel - K1,06:05:00,Dmart New panvel,"Asudgaon depot, Sec-18 DFPCL"
10,Downtown - HUB,06:10:00,Premier ,Premier 
11,Badlapur Ambarnath - Vikhroli,06:15:00,"Ganesh Ghat, Badlapur West","Ganesh Ghat, Badlapur West"
12,Downtown 3 - HUB,06:15:00,Premier ,Premier 
13,Badlapur - Andheri,06:20:00,Navy Nagar,Navy Nagar
14,South Bombay - Andheri,06:20:00,Chembur Naka,Chembur Naka
15,Mira Bhayander - Vikhroli,06:30:00,Golden Nest Circle B&V,L & T B&V
16,Wise City To Panvel station,06:30:00,Wadhwa wise City,Wadhwa wise City
17,Dombivali Station West - Vikhroli,06:35:00,Dombivali Station West ,Dombivali Station West 
18,Badlapur station - Vikhroli,06:40:00,"Badlapur east, Ganesh ghat (B&V)",Empire Plaza (B&V)
19,Borivali 1 (Borivali - Mindspace Juinagar),06:40:00,National Park  ISEC,"Garam Masala , Airoli ISEC"
20,Dombivali/Kalyan - Vikhroli,06:40:00,Dombivali Station B&V,Lodha Thane B&V
21,Kalwa - Andheri,06:40:00,Kalwa Naka Indofil,Kanjurmarg Railway Station Indofil
22,Panvel - Vikhroli,06:40:00,Panvel Railway Station  B&V,Mankhurd
23,Borivali West - BKC,06:45:00,"McDonald's, Kandaharpada",Pathanwadi
24,Dombivali Manpada - Vikhroli,06:45:00,Regency Anantam,Regency Anantam
25,Panvel - Andheri,06:45:00,HDFC circle Panvel,"Garam Masala , Airoli"
26,Panvel - Vikhroli,06:45:00,Panvel Railway Station  B&V,Govandi Clock Tower (B&V)
27,Thane - Andheri,06:45:00,Lodha Splendora,RTO Kamraj Nagar
28,Thane GB Road - Andheri,06:45:00,Lodha Splendora Indofil,Tagore Nagar junction Indofil
29,Borivali (Via Andheri2) - Mindspace Juinagar,06:50:00,Maxus Mall Bayer,Chedda Nagar Signal ISEC
30,Dombivali Palava Phase 1 - Vikhroli,06:50:00,Xperia Mall,Xperia Mall
31,Dombivali Palava Phase 2 - Vikhroli,06:50:00,Palava Phase 2 Main Gate,Palava Phase 2 Main Gate
32,Kalyan - BKC,06:50:00,"Kalyan (STFC,BKC)","Kalyan (STFC,BKC)"
33,Kalyan  - Powai (start Kalyan),06:50:00,Prem Auto   TATA Projects,Bhandup Pumping Station Tata Projects
